Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished
15217,3621 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1800,3,1.5,1624 ,Y,N
15217,1041 Mirror St,"Greenfield, Pittsburgh, PA",1650,3,2,1411 ,Y,Y
15217,3992 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1295,2,1,1200 ,N,N
15217,2325-2327 Eldridge St #6,"Squirrel Hill South, Pittsburgh, PA",1045,1,1,447 ,Y,N
15217,3994 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1300,2,1,1000 ,Y,N
15217,6330 Alderson St,"Squirrel Hill South, Pittsburgh, PA",1595,2,1.5,,Y,N
15217,5623 Melvin St,"Squirrel Hill South, Pittsburgh, PA",1125,3,1,1000 ,N,N
15217,780 Hazelwood Ave,"Greenfield, Pittsburgh, PA",925,3,1,,Y,N
15217,5954 Phillips Ave,"Squirrel Hill South, Pittsburgh, PA",1500,4,1,1100 ,Y,N
15217,Address Not Disclosed,"Greenfield, Pittsburgh, PA",1025,2,1,1600 ,N,N
15217,1400 Severn St #2,"Squirrel Hill North, Pittsburgh, PA",1075,2,1,750 ,N,N
15217,3518 Beechwood Blvd #2,"Greenfield, Pittsburgh, PA",1350,3,1,1200 ,Y,N
15217,4016 Murray Ave,"Greenfield, Pittsburgh, PA",995,3,1,1484 ,N,N
15217,5860 Forward Ave #5,"Squirrel Hill South, Pittsburgh, PA",1050,2,1,1100 ,N,N
15217,2357 Tilbury Ave,"Squirrel Hill South, Pittsburgh, PA",1249,3,1,,N,N
15217,2421 Beechwood Blvd #2421A,"Squirrel Hill South, Pittsburgh, PA",1300,3,1,800 ,N,N
15217,90 Lilac St,"Greenfield, Pittsburgh, PA",950,3,1,,Y,N
15217,Address Not Disclosed,"Squirrel Hill South, Pittsburgh, PA",2600,7,4,2950 ,Y,N
15217,Address Not Disclosed,"Squirrel Hill South, Pittsburgh, PA",850,,,,N,Y
15217,906 Greenfield Ave #2,"Greenfield, Pittsburgh, PA",895,4,1.5,650 ,N,N
15217,6535 Dalzell Pl #3,"Squirrel Hill North, Pittsburgh, PA",800,,,,N,Y
15217,4106 Saline St,"Greenfield, Pittsburgh, PA",1500,4,1.5,,N,N
15217,Address Not Disclosed,"Squirrel Hill North, Pittsburgh, PA",600,,,,N,N
15217,2552 Beechwood Blvd,"Squirrel Hill South, Pittsburgh, PA",1450,3,1,1400 ,N,N
15217,2608 Shady Ave,"Squirrel Hill South, Pittsburgh, PA",1425,3,1,,N,N
15217,764 Hazelwood Ave #2,"Greenfield, Pittsburgh, PA",1295,3,2,,N,N
15217,5858 Morrowfield Ave,"Squirrel Hill South, Pittsburgh, PA",995,2,1,1000 ,N,N
15217,1303 Denniston St,"Point Breeze, Pittsburgh, PA",3000,6,2,3324 ,Y,N
15217,5860 Forward Ave #1A,"Squirrel Hill South, Pittsburgh, PA",800,1,1,,N,N
15217,6325 Monitor St #2,"Squirrel Hill South, Pittsburgh, PA",1100,2,1,,N,N
15217,6325 Monitor St #1,"Squirrel Hill South, Pittsburgh, PA",1100,2,1,,N,N
15217,5854 Morrowfield Ave,"Squirrel Hill South, Pittsburgh, PA",995,2,1,1500 ,N,N
15217,5856 Alderson St #245,"Squirrel Hill South, Pittsburgh, PA",1150,2,1,,N,N
15217,2324 Sherbrook St,"Squirrel Hill South, Squirrel Hill, PA",2300,4,3.5,,Y,N
15217,Address Not Disclosed,"Squirrel Hill South, Pittsburgh, PA",2400,4,3,2958 ,N,N
15217,5854 Forbes Ave,"Squirrel Hill South, Pittsburgh, PA",1225,2,1,1000 ,Y,N
15217,1430 Severn St,"Squirrel Hill North, Pittsburgh, PA",1250,2,1,,N,N
15217,2334 Tilbury Ave,"Squirrel Hill South, Pittsburgh, PA",2250,4,1.5,,N,N
15217,2332 Sherbrook St,"Squirrel Hill South, Pittsburgh, PA",1325,3,2,1332 ,N,N
15217,2421 Beechwood Blvd #C,"Squirrel Hill South, Pittsburgh, PA",1275,2,1,774 ,N,N
15217,5862 Forbes Ave #3,"Squirrel Hill South, Pittsburgh, PA",860,1,1,533 ,Y,N
15217,Address Not Disclosed,"Greenfield, Pittsburgh, PA",890,1,1,760 ,N,N
15217,5637 Hobart St #3,"Squirrel Hill South, Pittsburgh, PA",860,1,1,,N,N
15217,6618 Dalzell Pl,"Squirrel Hill North, Pittsburgh, PA",845,Studio,1,,N,N
15217,747 McCaslin St,"Greenfield, Squirrel Hill, PA",1750,5,1.5,,Y,N
15217,5710 Phillips Ave #A15,"Squirrel Hill South, Pittsburgh, PA",1325,2,1,,N,N
15217,5706 Darlington Rd #2,"Squirrel Hill South, Pittsburgh, PA",1600,3,1,,N,N
15217,569 Loretto Rd,"Greenfield, Pittsburgh, PA",1350,2,1,796 ,Y,N
15217,20 Unger Ln,"Squirrel Hill North, Squirrel Hill, PA",2750,4,2.5,,N,N
15217,786 Hazelwood Ave,"Greenfield, Pittsburgh, PA",1000,2,1.5,1100 ,Y,N
15217,Address Not Disclosed,"Squirrel Hill South, Pittsburgh, PA",1295,2,1,,Y,N
15217,2421 Beechwood Blvd #B,"Squirrel Hill South, Pittsburgh, PA",1300,2,1,,N,N
15217,5706 Darlington Rd #3,"Squirrel Hill South, Pittsburgh, PA",1550,3,1,,N,N
15217,5454 Covode Pl #B,"Squirrel Hill South, Pittsburgh, PA",1400,2,1,900 ,N,N
15217,1663 Beechwood Blvd,"Squirrel Hill North, Squirrel Hill, PA",2200,4,2,,N,N
15217,5609 Darlington Rd,"Squirrel Hill South, Pittsburgh, PA",750,1,1,120 ,N,Y
15217,2347 Tilbury Ave #2,"Squirrel Hill South, Pittsburgh, PA",1395,2,1,,N,N
15217,1133 Wightman St,"Squirrel Hill North, Squirrel Hill, PA",3650,5,4,,N,N
15217,5839 Darlington Rd #14,"Squirrel Hill South, Pittsburgh, PA",1350,2,1,850 ,N,N
15217,2875 Fernwald Rd,"Squirrel Hill South, Squirrel Hill, PA",1600,3,1,,N,N
15217,2610 Shady Ave,"Squirrel Hill South, Pittsburgh, PA",1500,3,1,,N,N
15217,6525 Northumberland St,"Squirrel Hill North, Pittsburgh, PA",1600,3,1.5,,Y,N
15217,3062 Beechwood Blvd,"Squirrel Hill South, Pittsburgh, PA",1850,3,2.5,1500 ,Y,Y
15217,5807 Bartlett St #346,"Squirrel Hill South, Pittsburgh, PA",950,1,1,,N,N
15217,Address Not Disclosed,"Squirrel Hill South, Pittsburgh, PA",1450,2,1,,Y,N
15217,Address Not Disclosed,"Greenfield, Pittsburgh, PA",1575,3,1.5,1300 ,N,N
15217,5942 Phillips Ave #1,"Squirrel Hill South, Pittsburgh, PA",1400,2,1,1400 ,N,N
15217,6350 Forward Ave #24,"Squirrel Hill South, Pittsburgh, PA",1595,3,2,900 ,N,N
15217,6319 Monitor St #1,"Squirrel Hill South, Pittsburgh, PA",1050,1,1,,Y,N
15217,5917 Nicholson St,"Squirrel Hill South, Pittsburgh, PA",1600,3,1,1250 ,Y,N
15217,6350 Forward Ave #25,"Squirrel Hill South, Pittsburgh, PA",1550,3,2,,N,N
15217,6374 Morrowfield Ave,"Squirrel Hill South, Squirrel Hill, PA",1550,3,1,,N,N
15217,5555 Hobart St,"Squirrel Hill South, Pittsburgh, PA",1393,2,1,846 ,N,N
15217,5615 Hempstead Rd,"Squirrel Hill South, Pittsburgh, PA",1411,2,1,1073 ,N,N
15217,5837 Darlington Rd #10,"Squirrel Hill South, Pittsburgh, PA",795,Studio,1,,N,N
15217,2331 Tilbury Ave,"Squirrel Hill South, Pittsburgh, PA",1850,3,1.5,1584 ,Y,N
15217,5549 Phillips Ave,"Squirrel Hill South, Pittsburgh, PA",1295,2,1,,Y,N
15217,6350 Forward Ave #15R,"Squirrel Hill South, Pittsburgh, PA",1550,3,2,900 ,N,N
15217,1005 Parkview Blvd #A,"Squirrel Hill South, Pittsburgh, PA",1915,2,2,1228 ,Y,N
15217,36 Timberline Ct,"Squirrel Hill South, Pittsburgh, PA",1695,3,2,1356 ,N,N
15217,5361 Beeler St,"Squirrel Hill North, Pittsburgh, PA",2800,3,2,,N,N
15217,2347 Tilbury St,"Squirrel Hill South, Pittsburgh, PA",1395,2,1,,N,N
15217,Address Not Disclosed,"Squirrel Hill North, Pittsburgh, PA",1350,2,1,1200 ,N,N
